주차장명칭,구분,면적,주차면수,유료/무료,주소,lon,lat
인동숲앞 주차장,노외,4189,161,유료,인서리 237-1,127.5868828,34.97032367
구터미널주차장,노외,2968,125,유료,중동 1651,127.6954279,34.9362519
구경찰서 주차장,노외,2836,89,무료,읍내리 227-1,127.5845858,34.97563677
칠성1지구,노외,1980,52,무료,칠성리 962-1,127.5806828,34.97013011
칠성1지구,노외,1970,64,무료,칠성리 948-1,127.5807067,34.97252282
칠성2지구,노외,1910,72,무료,칠성리 1001-1,127.5817251,34.97817691
상설시장내,노외,1500,43,무료,읍내리 252-1,127.5852538,34.97645745
칠성2지구(매화마을앞),노외,1240,43,무료,구산리 767-1,127.5797663,34.98258227
칠성2지구(파랑새유치원앞),노외,2354,82,무료,칠성리 996,127.5813519,34.97969537
칠성1지구,노외,1970,49,무료,칠성리 924-1,127.5766424,34.97438687
수성당 인근,노외,360,24,무료,읍내리 178-2,127.5871045,34.97666683
인서지구주거환경개선,노외,570,12,무료,칠성리 491-22,127.5848742,34.9728354
성보장,노외,667,25,무료,인동리 400,127.5877065,34.97458796
유당공원,노외,1900,63,무료,목성리 670-1,127.592645,34.97053711
우산공원,노외,1000,33,무료,구산리 161-2,127.5860899,34.98278099
오성@옆,노외,1113,38,무료,덕례리 1724-8,127.5753236,34.96525635
개성지구,노외,734,24,무료,목성리 729-3,127.5918502,34.9733241
동초 앞,노외,492,20,무료,인서리 140-6,127.5847928,34.97062816
호북지구,노외,468,8,무료,칠성리 204,127.5847136,34.97767519
목성리 767,노외,250,8,무료,목성리 767,127.5913702,34.97612992
목성리 761-4,노외,181,6,무료,목성리 761-4,127.5913615,34.97561297
칠성리 186-13,노외,499,14,무료,칠성리 186-13,127.5838952,34.97836658
인서리 212-1,노외,238,8,무료,인서리 212-1/2,127.5870409,34.97225676
인동리 272-2,노외,369,12,무료,인동리 272-2,127.5882019,34.97235444
인동리 350,노외,75,5,무료,인동리 350,127.5888384,34.97350588
칠성리 268-4,노외,113,5,무료,칠성리 268-4,127.5859997,34.97777097
읍내리 21,노외,84,5,무료,읍내리 21,127.5873974,34.97679413
읍내리 25-1,노외,70,4,무료,읍내리 25-1,127.5880237,34.9766775
용강리 914-5,노외,1587,53,무료,용강리 914-5,127.6091227,34.96947377
용강리 898-6,노외,1246,43,무료,용강리 898-6,127.6099135,34.97084895
용강리 865-5,노외,1251,52,무료,용강리 865-5,127.607064,34.97400612
구 농산물검사소 앞,노외,409,27,무료,칠성리 531-1,127.5833946,34.97364516
인동숲 앞,노외,87,14,무료,인서리 237-1,127.5868828,34.97032367
중앙탕 앞,노외,330,16,무료,인서리 457-12,127.5851139,34.96961151
광양읍 5일시장,노외,1529,35,무료,목성리 683-3,127.5911819,34.97169397
익신일반산단내1,노외,4361,165,무료,익신리 744,127.6029517,34.95237354
익신일반산단내2,노외,2964,113,무료,익신리 750,127.6034106,34.95061171
초남2산단,노외,3143,,무료,초남리 760-6,127.6063808,34.94441976
초남2산단,노외,2692,,무료,초남리 760-8,127.6064422,34.94261233
구산리 417,노외,700,24,무료,구산리 417,127.5719586,34.97620329
덕산마을,노외,778,11,무료,덕례리 1074-6,127.5644555,34.96509233
덕산마을 회관,노외,562,15,무료,덕례리 1065-10,127.5643028,34.9662973
구산2 어린이공원,노외,890,34,무료,칠성리 994-3,127.5795867,34.98027338
무선마을,노외,185,4,무료,덕례리 167-1,127.5755968,34.95235914
덕진봄@ 부근,노외,1890,64,무료,구산리 829-1,127.5755321,34.97710286
세승마을,노외,185,4,무료,세풍리 489-4,127.5769917,34.94399797
목성우체국 부근,노외,391,14,무료,목성리 730-12,127.5919166,34.97350865
성북마을,노외,690,29,무료,칠성리 907-16,127.5823986,34.96945565
예구마을 소공원,노외,962,35,무료,덕례리 1667,127.5695116,34.96635132
광양읍5일시장 인근,노외,3180,92,무료,목성리 835-1,127.590331,34.97385716
성황마을,노외,852,25,무료,목성리 799,127.5903748,34.97701647
구 중마상설시장 앞,노외,6190,201,무료,중동1358-1,127.6946729,34.94203773
남양파크 건너편,노외,1705,65,무료,중동 1399,127.6877323,34.94305392
중동 1314-3(시청 옆),노외,2228,100,무료,중동 1314-3,127.697067,34.94068031
동광주유소 뒤,노외,1761,68,무료,중동 1568,127.6887738,34.94984465
장례식 옆,노외,1448,55,무료,중동 1751-1,127.7002684,34.9393761
길호주거환경개선사업,노외,964,38,무료,중동 1851-2,127.6968827,34.93059282
길호주거환경개선사업,노외,862,34,무료,중동 1871-1,127.6988915,34.93091425
중복도로,노외,2350,47,무료,마동 276-7,127.7100427,34.95554343
중동근린공원,노외,1850,74,무료,중동 1673,127.6928732,34.93460952
시민광장,노외,1500,59,무료,중동 1311-1,127.6959422,34.93915947
르네상스호텔 옆,노외,1225,80,무료,중동 1303-1,127.6989911,34.9409544
우봉카이스트빌 앞,노외,410,13,무료,중동 1731,127.6957435,34.94604571
주공2차아파트 뒤,노외,876,90,무료,중동 1434-1,127.6851221,34.94569948
중마일반부두 인근,노외,3400,130,무료,중동 1813-4,127.696358,34.9260025
사동지구(백운탕인근),노외,1883,68,무료,중동 1581,127.6893126,34.95050872
금광@앞,노외,5514,157,무료,중동 1660,127.6896116,34.93634835
와우호수공원내,노외,1510,45,무료,마동 21,127.7185594,34.94962444
대원식당 옆,노외,3908,163,무료,중동 1748,127.7002524,34.94020098
시티프라자 앞,노외,2500,100,무료,중동 1675-1,127.6939107,34.93565942
중마터미널주차장,노외,20700,450,무료,중동1372-2,127.6857403,34.94053829
중동교회 뒤,노외,654,16,무료,중동 1512-3,127.6868986,34.94919151
중동 청소년문화센터,노외,2206,58,무료,중동 1659,127.6900603,34.93684137
중동 성호아파트 옆,노외,1695,61,무료,중동 1666,127.6897749,34.93306421
써니밸리 아파트 옆,노외,1733,48,무료,마동 산21-36,127.713345,34.94603681
중동상가 밀집지역 주차장,노외,1171,86,무료,중동 1767-3,127.6993505,34.9341395
중동상가 밀집지역 2차분 주차장,노외,2293,56,무료,중동 1762-1,127.6993219,34.93509112
강남지구,노외,221,7,무료,중동 1827-15,127.6950417,34.93165217
주공 고층아파트 부근,노외,3745,85,무료,중동 1435-1,127.6867304,34.94667742
영주교회 부근,노외,2240,63,무료,중동 1375,127.6853939,34.94393844
청소년문화센터 부근,노외,230,9,무료,중동 1611-6,127.6906065,34.93811528
강남병원 부근,노외,211,7,무료,중동 1835-4,127.695297,34.93141276
사동 1공구(노암공원),노외,326,15,무료,마동 1025,127.6900011,34.95511925
사동 2공구(송보 6차 앞),노외,431,17,무료,마동 1039,127.6918497,34.95534143
성호 2-1차,노외,719,19,무료,중동 1666,127.6897749,34.93306421
중동 1634-11,노외,237,8,무료,중동 1634-11,127.6970676,34.93814411
주공1차 아파트 인근,노외,1183,34,무료,중동 1297-1,127.6990993,34.942505
중마13통,노외,209,7,무료,중동 1390-3,127.6885213,34.94187598
중마13통,노외,211,8,무료,중동 1393-9,127.6887595,34.94285495
호반아파트 후문,노외,621,23,무료,중동 1626,127.693492,34.93800771
우봉카이트스빌 인근 광장,노외,1450,38,무료,중동 1711,127.6974889,34.94770602
시청뒤 소공원 인근,노외,547,19,무료,중동 1316-8,127.6970083,34.94219537
골약교회 옆,노외,530,18,무료,도이동 788,127.6831609,34.93816373
황길동 892-18,노외,2363,80,무료,황길동 892-18,127.6578975,34.90943319
마린센터 옆 공원내,노외,5440,220,무료,도이동 858,127.6666866,34.91148749
황곡마을,노외,116,4,무료,황길동 1212-1,127.6474074,34.92058605
평생교육관입구,노외,272,8,무료,광영동 98,127.7180244,34.96185094
가야아파트 앞,노외,1151,35,무료,광영동 242,127.7140593,34.96579382
우주빌라 옆,노외,722,26,무료,광영동 797-2,127.7213355,34.96374371
현대@앞,노외,841,25,무료,광영동 762-2,127.7150319,34.96441751
현대@앞,노외,926,21,무료,광영동 762-11,127.7157411,34.96395255
그린파크 내,노외,208,15,무료,광영동 258-7,127.7135176,34.96757966
영수공원 앞,노외,375,14,무료,광영동 778-3,127.7188636,34.96450322
광영교회 뒤,노외,224,7,무료,광영동 768-9,127.7179756,34.96529036
광영파출소 앞,노외,544,20,무료,광영동 675-6,127.7194304,34.96196927
광영초등학교 지하,노외,1584,66,무료,광영동 791-2,127.7204651,34.96320113
광포4길 공원앞,노외,762,15,무료,광영동 686,127.7217175,34.9607298
성심빌라 뒤,노외,575,24,무료,광영동 317-4,127.7142277,34.96439627
로데오아파트 앞,노외,240,10,무료,광영동 313,127.7138638,34.96529045
광영동 가야아파트 옆,노외,395,15,무료,광영동 254,127.7136642,34.96606151
가야산 내,노외,3095,54,무료,광영동 304,127.7089985,34.96513856
영수마을회관,노외,245,6,무료,광영동 780-7,127.7189329,34.9640298
영수마을 소공원 인근,노외,448,20,무료,광영동 768-9,127.7179756,34.96529036
현대아파트 인근,노외,207,7,무료,광영동 762-9,127.7159688,34.96398504
도촌마을 내,노외,919,25,무료,태인동 1341,127.742802,34.94483969
용지마을 내,노외,544,18,무료,태인동 125-214,127.7572836,34.94275714
궁기회관 앞,노외,470,8,무료,태인동 819-3,127.7525573,34.94736022
태인동 복지관앞,노외,6734,66,무료,태인동 398,127.7495686,34.94326501
태인동 1711,노외,3343,78,무료,태인동 1711,127.7620563,34.94472048
용지마을 내,노외,118,36,무료,태인동 125-48,127.7558107,34.94297476
명단산단  대성철강 앞,노외,3759,104,무료,태인동 1739,127.7605862,34.95131446
