업종,상호,주소,lon,lat
가상체험 체육시설업,리얼야구존,"전라남도 광양시 광장로 142, 5~6층 (중동)",127.695281,34.936666
가상체험 체육시설업,레전드스크린야구존,"전라남도 광양시 오류2길 2, 3층 (중동)",127.696366,34.936245
가상체험 체육시설업,스크린골프존파크 옥곡 공단점,전라남도 광양시 옥곡면 신금산단5길 41,127.716192,34.977066
골프연습장,체인지 골프 아카데미," 광양시 진등1길 3-8, 1층 (중동)",127.688989,34.950379
골프연습장,패밀리실내골프연습장업, 광양시 진등길 6 (중동),127.690767,34.949221
골프연습장,광양골프존, 광양시 항만9로 109 (중동),127.6968,34.925266
골프연습장,길호선샤인스크린골프존," 광양시 항만9로 115, 1층 (중동)",127.697094,34.925754
골프연습장,조이스크린골프," 광양시 진등1길 15, 2층 (중동)",127.689877,34.950129
골프연습장,미래스크린골프," 광양시 중동로 56, 1층 (중동)",127.694531,34.941009
골프연습장,에이스골프아카데미," 광양시 중동로 79, 안산빌딩 (중동)",127.6972,34.941484
골프연습장,포스골프존," 광양시 중마로 560, 2층 (중동)",127.700948,34.934561
골프연습장,굿샷스크린골프존," 광양시 중마중앙로 179-1, 1층 (중동)",127.697795,34.946417
골프연습장,에이스골프존스크린, 광양시 가야로 324-1 (광영동),127.714457,34.962747
골프연습장,(주)그린레져산업개발, 광양시 금영로 31 (광영동),127.726097,34.959447
골프연습장,대방골프아카데미," 광양시 광장로 107, 2층 (중동)",127.694273,34.933806
골프연습장,최은규골프클리닉," 광양시 길호2길 33, 2, 3층 (중동)",127.695486,34.93142
골프연습장,가야스크린골프, 광양시 사동로 98 (중동),127.687893,34.947744
골프연습장,안 골프죤," 광양시 오류3길 14, 2층 (중동)",127.696953,34.937229
골프연습장,카스 스크린 골프," 광양시 광양읍 갈티로 35, 1층",127.566253,34.967527
골프연습장,덕산골프연습장," 광양시 광양읍 덕산6길 35, 덕산골프연습장",127.563688,34.961785
골프연습장,버디버디 스크린, 광양시 광양읍 예구10길 27,127.566535,34.965897
골프연습장,마음 스크린, 광양시 광양읍 와룡5길 5,127.607954,34.969733
골프연습장,도깨비 스크린골프장," 광양시 등논4길 11, 1층 (마동)",127.696639,34.951363
골프연습장,광양시스크린골프, 광양시 눈소로 22 (마동),127.703691,34.935803
골프연습장,VIP스크린골프존, 광양시 눈소로 18 (마동),127.703286,34.935721
골프연습장,로얄 스크린골프," 광양시 사동로 253-5, 1,2층 (마동)",127.696045,34.951966
골프연습장,골프존클럽하우스, 광양시 등논1길 9 (마동),127.696619,34.950759
골프연습장,J GOLF 아카데미," 광양시 사동로 261, 2층 (마동)",127.695775,34.951063
골프연습장,광양컨트리클럽 골프연습장, 광양시 가야로 223 (마동),127.710262,34.956625
골프연습장,미가로골프연습장, 광양시 중마로 300 (마동),127.694587,34.94951
골프연습장,금강스크린골프, 광양시 광양읍 서북3길 24,127.577253,34.972759
골프연습장,광양실내골프연습장, 광양시 광양읍 서평10길 38,127.580513,34.981992
골프연습장,광양골프존파크, 광양시 광양읍 용강로 8,127.608203,34.970374
골프연습장,워터피아 골프연습장, 광양시 봉강면 지실길 80-30,127.58613,34.995506
골프연습장,썬 스크린골프존," 광양시 구마10길 3-15, 지하1층 (성황동)",127.68324,34.947723
