area,lon,lat,geometry,category,주차면수,소유주체
451.5,127.6999517,34.94375639,POINT (127.6999517256385 34.94375639192332),주거,61,
315.18,127.69970090000001,34.94300536,POINT (127.6997008999679 34.94300535627899),주거,61,
528.6,127.70017759999999,34.94328851,POINT (127.7001775786846 34.94328850811207),주거,61,
420.24,127.7001429,34.94351961,POINT (127.7001428684157 34.94351960690734),주거,61,
420.24,127.7003199,34.94300525,POINT (127.7003199164866 34.94300525165077),주거,61,
455.4,127.69920090000001,34.94402004,POINT (127.6992009253564 34.94402004427995),주거,61,
451.5,127.6991888,34.9432642,POINT (127.6991887856559 34.94326419554561),주거,61,
455.4,127.699193,34.94352279,POINT (127.6991930034054 34.94352278691999),주거,61,
451.5,127.69918940000001,34.94376261,POINT (127.6991894373452 34.94376260523296),주거,61,
364.32,127.6998416,34.9440174,POINT (127.6998415704 34.94401740213825),주거,61,
688.79,127.7005415,34.94248838,POINT (127.7005414918642 34.94248837573334),주거,181,
816.4,127.7005357,34.94156215,POINT (127.7005357360061 34.94156214717888),주거,181,
736.14,127.70054209999999,34.94202616,POINT (127.7005421434776 34.94202615511194),주거,181,
798.32,127.6941932,34.94400170000001,POINT (127.6941931725954 34.94400170136752),주거,220,
851.7,127.69414270000001,34.94258176,POINT (127.6941426674447 34.94258176251973),주거,220,
1212.22,127.69299199999999,34.94242542,POINT (127.692992021458 34.94242542221019),주거,220,
746.76,127.6923257,34.94198257,POINT (127.6923256553844 34.94198257241046),주거,220,
504.44,127.69312009999999,34.94198052,POINT (127.6931201427311 34.94198052014323),주거,220,
680.78,127.69220929999999,34.94161652,POINT (127.6922093346122 34.94161651768208),주거,220,
680.78,127.6930113,34.94161299,POINT (127.6930113385701 34.94161298763621),주거,220,
798.32,127.6941824,34.943077200000005,POINT (127.6941824149144 34.94307720214629),주거,220,
798.32,127.69418770000001,34.9435416,POINT (127.6941876507554 34.94354159878916),주거,220,
651.6,127.6922034,34.94121796,POINT (127.6922033737542 34.94121796469236),주거,102,
438.72,127.69211829999999,34.94098013,POINT (127.692118309549 34.94098012519488),주거,102,
860.76,127.68575359999998,34.94153457,POINT (127.6857536188725 34.94153456526564),주거,152,
887.01,127.68577659999998,34.94198997,POINT (127.6857765944242 34.9419899710855),주거,152,
3078.33,127.689727,34.94360738,POINT (127.6897269583325 34.94360738476383),주거,126,
3078.33,127.689554,34.94262584,POINT (127.6895539600107 34.9426258354799),주거,126,
3078.33,127.68956229999999,34.94313397,POINT (127.6895623003948 34.94313397425518),주거,126,
3078.33,127.6898517,34.94289572,POINT (127.68985172084 34.94289571841742),주거,126,
3078.33,127.6897798,34.94406956,POINT (127.689779771582 34.94406955621138),주거,126,
1077.1,127.68989840000002,34.94465703,POINT (127.6898984358978 34.94465702552794),주거,174,
488.82,127.6901428,34.94553883,POINT (127.6901427776609 34.94553883201001),주거,174,
488.82,127.6894521,34.9455971,POINT (127.6894521180865 34.94559709554662),주거,174,
488.82,127.6898423,34.94590926,POINT (127.6898423037392 34.94590925933224),주거,174,
566.46,127.6897679,34.9452155,POINT (127.6897678924278 34.94521549598635),주거,174,
896.81,127.6856088,34.945159999999994,POINT (127.6856088407607 34.94515999531622),주거,121,
896.81,127.68605690000001,34.946008299999995,POINT (127.6860569057846 34.94600830093675),주거,121,
896.81,127.68603610000001,34.944896500000006,POINT (127.6860360838427 34.94489649638079),주거,121,
896.81,127.68559509999999,34.94576679,POINT (127.6855951028064 34.9457667850665),주거,121,
896.81,127.6856729,34.94676309,POINT (127.6856729316414 34.94676308550036),주거,121,
