주차장명칭,구분,DGM_AR,주차면수,유료/무료,주소,lon,lat,geometry,category,소유주체
인동숲앞 주차장,노외,4189,161,유료,인서리 237-1,127.5868828,34.97032367,POINT (127.5868828 34.97032367),주차장,군유지
구터미널주차장,노외,2968,125,유료,중동 1651,127.6954279,34.9362519,POINT (127.6954279 34.93625189999999),주차장,군유지
구경찰서 주차장,노외,2836,89,무료,읍내리 227-1,127.5845858,34.97563677,POINT (127.5845858 34.97563677),주차장,군유지
칠성1지구,노외,1980,52,무료,칠성리 962-1,127.5806828,34.97013011,POINT (127.5806828 34.97013011),주차장,군유지
칠성1지구,노외,1970,64,무료,칠성리 948-1,127.5807067,34.97252282,POINT (127.5807067 34.97252282),주차장,군유지
칠성2지구,노외,1910,72,무료,칠성리 1001-1,127.5817251,34.97817691,POINT (127.5817251 34.97817691),주차장,군유지
상설시장내,노외,1500,43,무료,읍내리 252-1,127.5852538,34.97645745,POINT (127.5852538 34.97645745),주차장,군유지
칠성2지구(매화마을앞),노외,1240,43,무료,구산리 767-1,127.5797663,34.98258227,POINT (127.5797663 34.98258227),주차장,군유지
칠성2지구(파랑새유치원앞),노외,2354,82,무료,칠성리 996,127.5813519,34.97969537,POINT (127.5813519 34.97969537),주차장,군유지
칠성1지구,노외,1970,49,무료,칠성리 924-1,127.5766424,34.97438687,POINT (127.5766424 34.97438687),주차장,군유지
수성당 인근,노외,360,24,무료,읍내리 178-2,127.5871045,34.97666683,POINT (127.5871045 34.97666683),주차장,군유지
인서지구주거환경개선,노외,570,12,무료,칠성리 491-22,127.5848742,34.9728354,POINT (127.5848742 34.9728354),주차장,군유지
성보장,노외,667,25,무료,인동리 400,127.5877065,34.97458796,POINT (127.5877065 34.97458796),주차장,군유지
유당공원,노외,1900,63,무료,목성리 670-1,127.592645,34.97053711,POINT (127.592645 34.97053711),주차장,군유지
우산공원,노외,1000,33,무료,구산리 161-2,127.5860899,34.98278099,POINT (127.5860899 34.98278099),주차장,군유지
오성@옆,노외,1113,38,무료,덕례리 1724-8,127.5753236,34.96525635,POINT (127.5753236 34.96525635),주차장,군유지
개성지구,노외,734,24,무료,목성리 729-3,127.5918502,34.9733241,POINT (127.5918502 34.97332410000001),주차장,군유지
동초 앞,노외,492,20,무료,인서리 140-6,127.5847928,34.97062816,POINT (127.5847928 34.97062816),주차장,군유지
호북지구,노외,468,8,무료,칠성리 204,127.5847136,34.97767519,POINT (127.5847136 34.97767519),주차장,군유지
목성리 767,노외,250,8,무료,목성리 767,127.5913702,34.97612992,POINT (127.5913702 34.97612992),주차장,군유지
목성리 761-4,노외,181,6,무료,목성리 761-4,127.5913615,34.97561297,POINT (127.5913615 34.97561297),주차장,군유지
칠성리 186-13,노외,499,14,무료,칠성리 186-13,127.5838952,34.97836658,POINT (127.5838952 34.97836658),주차장,군유지
